Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 No","702419.096","X","Figure from external organization",""
"OA","Annual population","356","India","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 No","657238.304","X","Figure from external organization",""
"OA","Annual population","356","India","551","Rural population","3010","Population - Est. & Proj.","2017","2017","1000 No","889216.746","X","Figure from external organization",""
"OA","Annual population","356","India","561","Urban population","3010","Population - Est. & Proj.","2017","2017","1000 No","449963.381","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","1374659.064","X","Figure from external organization",""
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","710050.159","X","Figure from external organization",""
"OA","Annual population","356","India","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","664608.905","X","Figure from external organization",""
"OA","Annual population","356","India","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","893272.09","X","Figure from external organization",""
"OA","Annual population","356","India","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","460779.764","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","1389030.312","X","Figure from external organization",""
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","717351.064","X","Figure from external organization",""
"OA","Annual population","356","India","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","671679.248","X","Figure from external organization",""
"OA","Annual population","356","India","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","896909.218","X","Figure from external organization",""
"OA","Annual population","356","India","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","471828.295","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","1402617.695","X","Figure from external organization",""
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","724175.468","X","Figure from external organization",""
"OA","Annual population","356","India","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","678442.228","X","Figure from external organization",""
"OA","Annual population","356","India","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","900099.113","X","Figure from external organization",""
"OA","Annual population","356","India","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","483098.64","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","1414203.896","X","Figure from external organization",""
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2021","2021","1000 No","729924.103","X","Figure from external organization",""
"OA","Annual population","356","India","513","Total Population - Female","3010","Population - Est. & Proj.","2021","2021","1000 No","684279.793","X","Figure from external organization",""
"OA","Annual population","356","India","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","902833.076","X","Figure from external organization",""
"OA","Annual population","356","India","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","494589.933","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2022","2022","1000 No","1425423.212","X","Figure from external organization",""
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2022","2022","1000 No","735531.456","X","Figure from external organization",""
"OA","Annual population","356","India","513","Total Population - Female","3010","Population - Est. & Proj.","2022","2022","1000 No","689891.756","X","Figure from external organization",""
"OA","Annual population","356","India","551","Rural population","3010","Population - Est. & Proj.","2022","2022","1000 No","905110.427","X","Figure from external organization",""
"OA","Annual population","356","India","561","Urban population","3010","Population - Est. & Proj.","2022","2022","1000 No","506304.869","X","Figure from external organization",""
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2023","2023","1000 No","1438069.596","X","Figure from external organization",""
"OA","Annual population","356","India","512","Total Population - Male","3010","Population - Est. & Proj.","2023","2023","1000 No","741883.264","X","Figure from external organization",""
"OA","Annual population","356","India","513","Total Population - Female","3010","Population - Est. & Proj.","2023","2023","1000 No","696186.332","X","Figure from external organization",""
"OA","Annual population","356","India","551","Rural population","3010","Population - Est. & Proj.","2023","2023","1000 No","906919.359","X","Figure from external organization",""
"OA","Annual population","356","India","561","Urban population","3010","Population - Est. & Proj.","2023","2023","1000 No","518239.122","X","Figure from external organization",""
