Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2011","2011","3050","FAO TIER 1","kt","14.5065","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2011","2011","3050","FAO TIER 1","kt","78.9798","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2011","2011","3050","FAO TIER 1","kt","20929.647","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2011","2011","3050","FAO TIER 1","kt","20929.647","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2012","2012","3050","FAO TIER 1","kt","65.2174","E","Estimated value",""
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2012","2012","3050","FAO TIER 1","kt","14.6739","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2012","2012","3050","FAO TIER 1","kt","79.8913","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2012","2012","3050","FAO TIER 1","kt","21171.1945","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2012","2012","3050","FAO TIER 1","kt","21171.1945","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2013","2013","3050","FAO TIER 1","kt","65.7453","E","Estimated value",""
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2013","2013","3050","FAO TIER 1","kt","14.7927","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2013","2013","3050","FAO TIER 1","kt","80.538","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2013","2013","3050","FAO TIER 1","kt","21342.57","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2013","2013","3050","FAO TIER 1","kt","21342.57","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2014","2014","3050","FAO TIER 1","kt","65.9046","E","Estimated value",""
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2014","2014","3050","FAO TIER 1","kt","14.8285","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2014","2014","3050","FAO TIER 1","kt","80.7331","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2014","2014","3050","FAO TIER 1","kt","21394.2715","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2014","2014","3050","FAO TIER 1","kt","21394.2715","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2015","2015","3050","FAO TIER 1","kt","63.8306","E","Estimated value",""
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2015","2015","3050","FAO TIER 1","kt","14.3619","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2015","2015","3050","FAO TIER 1","kt","78.1925","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2015","2015","3050","FAO TIER 1","kt","20721.0125","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2015","2015","3050","FAO TIER 1","kt","20721.0125","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2016","2016","3050","FAO TIER 1","kt","66.3638","E","Estimated value",""
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2016","2016","3050","FAO TIER 1","kt","14.9319","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2016","2016","3050","FAO TIER 1","kt","81.2957","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2016","2016","3050","FAO TIER 1","kt","21543.3605","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2016","2016","3050","FAO TIER 1","kt","21543.3605","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2017","2017","3050","FAO TIER 1","kt","68.9895","E","Estimated value",""
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2017","2017","3050","FAO TIER 1","kt","15.5226","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2017","2017","3050","FAO TIER 1","kt","84.5122","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2017","2017","3050","FAO TIER 1","kt","22395.733","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2017","2017","3050","FAO TIER 1","kt","22395.733","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2018","2018","3050","FAO TIER 1","kt","69.7575","E","Estimated value",""
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2018","2018","3050","FAO TIER 1","kt","15.6954","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2018","2018","3050","FAO TIER 1","kt","85.4529","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2018","2018","3050","FAO TIER 1","kt","22645.0185","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2018","2018","3050","FAO TIER 1","kt","22645.0185","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kt","70.1121","E","Estimated value",""
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kt","15.7752","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kt","85.8874","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kt","22760.161","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2019","2019","3050","FAO TIER 1","kt","22760.161","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","73.3877","E","Estimated value",""
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","16.5122","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","89.8999","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","23823.4735","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2020","2020","3050","FAO TIER 1","kt","23823.4735","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2021","2021","3050","FAO TIER 1","kt","75.9061","E","Estimated value",""
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2021","2021","3050","FAO TIER 1","kt","17.0789","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2021","2021","3050","FAO TIER 1","kt","92.985","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2021","2021","3050","FAO TIER 1","kt","24641.025","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2021","2021","3050","FAO TIER 1","kt","24641.025","E","Estimated value",""
"GT","Emissions totals","356","India","7234","Direct emissions (N2O)","5064","Crop Residues","2022","2022","3050","FAO TIER 1","kt","75.6925","E","Estimated value",""
"GT","Emissions totals","356","India","7236","Indirect emissions (N2O)","5064","Crop Residues","2022","2022","3050","FAO TIER 1","kt","17.0308","E","Estimated value",""
"GT","Emissions totals","356","India","7230","Emissions (N2O)","5064","Crop Residues","2022","2022","3050","FAO TIER 1","kt","92.7233","E","Estimated value",""
"GT","Emissions totals","356","India","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2022","2022","3050","FAO TIER 1","kt","24571.6745","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2022","2022","3050","FAO TIER 1","kt","24571.6745","E","Estimated value",""
"GT","Emissions totals","356","India","7225","Emissions (CH4)","5060","Rice Cultivation","2000","2000","3050","FAO TIER 1","kt","4719.7987","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2000","2000","3050","FAO TIER 1","kt","132154.3636","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2000","2000","3050","FAO TIER 1","kt","132154.3636","E","Estimated value",""
"GT","Emissions totals","356","India","7225","Emissions (CH4)","5060","Rice Cultivation","2001","2001","3050","FAO TIER 1","kt","4739.644","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2001","2001","3050","FAO TIER 1","kt","132710.032","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2001","2001","3050","FAO TIER 1","kt","132710.032","E","Estimated value",""
"GT","Emissions totals","356","India","7225","Emissions (CH4)","5060","Rice Cultivation","2002","2002","3050","FAO TIER 1","kt","4346.5491","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2002","2002","3050","FAO TIER 1","kt","121703.3748","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2002","2002","3050","FAO TIER 1","kt","121703.3748","E","Estimated value",""
"GT","Emissions totals","356","India","7225","Emissions (CH4)","5060","Rice Cultivation","2003","2003","3050","FAO TIER 1","kt","4496.0643","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2003","2003","3050","FAO TIER 1","kt","125889.8004","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2003","2003","3050","FAO TIER 1","kt","125889.8004","E","Estimated value",""
"GT","Emissions totals","356","India","7225","Emissions (CH4)","5060","Rice Cultivation","2004","2004","3050","FAO TIER 1","kt","4423.6713","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2004","2004","3050","FAO TIER 1","kt","123862.7964","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2004","2004","3050","FAO TIER 1","kt","123862.7964","E","Estimated value",""
"GT","Emissions totals","356","India","7225","Emissions (CH4)","5060","Rice Cultivation","2005","2005","3050","FAO TIER 1","kt","4608.7285","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2005","2005","3050","FAO TIER 1","kt","129044.398","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2005","2005","3050","FAO TIER 1","kt","129044.398","E","Estimated value",""
"GT","Emissions totals","356","India","7225","Emissions (CH4)","5060","Rice Cultivation","2006","2006","3050","FAO TIER 1","kt","4624.5836","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2006","2006","3050","FAO TIER 1","kt","129488.3408","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2006","2006","3050","FAO TIER 1","kt","129488.3408","E","Estimated value",""
"GT","Emissions totals","356","India","7225","Emissions (CH4)","5060","Rice Cultivation","2007","2007","3050","FAO TIER 1","kt","4635.1396","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2007","2007","3050","FAO TIER 1","kt","129783.9088","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2007","2007","3050","FAO TIER 1","kt","129783.9088","E","Estimated value",""
"GT","Emissions totals","356","India","7225","Emissions (CH4)","5060","Rice Cultivation","2008","2008","3050","FAO TIER 1","kt","4806.9279","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2008","2008","3050","FAO TIER 1","kt","134593.9812","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2008","2008","3050","FAO TIER 1","kt","134593.9812","E","Estimated value",""
"GT","Emissions totals","356","India","7225","Emissions (CH4)","5060","Rice Cultivation","2009","2009","3050","FAO TIER 1","kt","4424.8957","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2009","2009","3050","FAO TIER 1","kt","123897.0796","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2009","2009","3050","FAO TIER 1","kt","123897.0796","E","Estimated value",""
"GT","Emissions totals","356","India","7225","Emissions (CH4)","5060","Rice Cultivation","2010","2010","3050","FAO TIER 1","kt","4524.5549","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2010","2010","3050","FAO TIER 1","kt","126687.5372","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2010","2010","3050","FAO TIER 1","kt","126687.5372","E","Estimated value",""
"GT","Emissions totals","356","India","7225","Emissions (CH4)","5060","Rice Cultivation","2011","2011","3050","FAO TIER 1","kt","4645.6956","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2011","2011","3050","FAO TIER 1","kt","130079.4768","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2011","2011","3050","FAO TIER 1","kt","130079.4768","E","Estimated value",""
"GT","Emissions totals","356","India","7225","Emissions (CH4)","5060","Rice Cultivation","2012","2012","3050","FAO TIER 1","kt","4513.1122","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2012","2012","3050","FAO TIER 1","kt","126367.1416","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2012","2012","3050","FAO TIER 1","kt","126367.1416","E","Estimated value",""
"GT","Emissions totals","356","India","7225","Emissions (CH4)","5060","Rice Cultivation","2013","2013","3050","FAO TIER 1","kt","4658.9909","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2013","2013","3050","FAO TIER 1","kt","130451.7452","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2013","2013","3050","FAO TIER 1","kt","130451.7452","E","Estimated value",""
"GT","Emissions totals","356","India","7225","Emissions (CH4)","5060","Rice Cultivation","2014","2014","3050","FAO TIER 1","kt","4656.2516","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2014","2014","3050","FAO TIER 1","kt","130375.0448","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2014","2014","3050","FAO TIER 1","kt","130375.0448","E","Estimated value",""
"GT","Emissions totals","356","India","7225","Emissions (CH4)","5060","Rice Cultivation","2015","2015","3050","FAO TIER 1","kt","4591.7756","E","Estimated value",""
"GT","Emissions totals","356","India","724413","Emissions (CO2eq) from CH4 (AR5)","5060","Rice Cultivation","2015","2015","3050","FAO TIER 1","kt","128569.7168","E","Estimated value",""
"GT","Emissions totals","356","India","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2015","2015","3050","FAO TIER 1","kt","128569.7168","E","Estimated value",""
"GT","Emissions totals","356","India","7225","Emissions (CH4)","5060","Rice Cultivation","2016","2016","3050","FAO TIER 1","kt","4643.9433","E","Estimated value",""
